求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6740-8120-8745,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,北海道,正社員,salBB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8746,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,北海道,正社員,salBB,公開中,6,1,16.7%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8749,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,兵庫県,正社員,salBB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8751,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,兵庫県,正社員,salBB,公開中,6,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8754,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,京都府,正社員,salBB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8755,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,京都府,正社員,salBB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8756,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,宮城県,正社員,salBB,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8759,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,宮城県,正社員,salBB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8761,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,5,2,40.0%,￥25,￥50,0,0,0.0%,￥0
6740-8120-8763,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8764,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,埼玉県,正社員,salAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8765,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,千葉県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8766,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,千葉県,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8768,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8769,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,神奈川県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8776,リユース業界トップレベル/初年度年収600万保証/転勤なし/残業禁止の為毎日定時退社が可能sal241201,非公開,東京都,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8778,未経験歓迎/個人ノルマなしの営業職/多彩な業務で活躍できます/寮・社宅完備/新たな事にチャレンジする場所を提供しますsal241201,非公開,大阪府,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8779,車好き必見/10年で売上1000億企業/飛び込みなしの完全反響型営業/初年度年収450万/年間休日120日sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8780,IT×不動産/フレックスタイム制/早期キャリアアップ可能/年間休日140日/8割が未経験者sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8781,ブランド好き必見/快適な空間での内勤営業/未経験大歓迎/昇給・賞与年2回あり/社員割引制度ありsal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8785,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8787,未経験エンジニア募集/年間休日120日/多彩なキャリア制度あり/充実した研修制度用意してますIT241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8792,テレワーク推奨/年間休日125日/転勤なし/未経験者歓迎の研修体制/資格支援制度あり/IT241201,非公開,東京都,正社員,salAB,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8794,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8795,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8796,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8798,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8800,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8801,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8802,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8803,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8805,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8806,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8808,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8809,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8810,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8811,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8815,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8816,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8818,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8819,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,東京都,正社員,salAB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8821,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,神奈川県,正社員,salAB,公開中,12,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8822,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,神奈川県,正社員,salAB,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8824,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,埼玉県,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8826,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,宮城県,正社員,salAB,公開中,4,2,50.0%,￥25,￥50,0,0,0.0%,￥0
6740-8120-8827,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,宮城県,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8828,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,宮城県,正社員,salAB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8831,通信やデジタル好き集まれ！/未経験大歓迎/福利厚生充実/連休取得率97%sal241201,非公開,宮城県,正社員,salAB,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
