求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6810-1556-1615,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,神奈川県,正社員,LG求人20231114,公開中,17,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1616,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,神奈川県,正社員,LG求人20231114,公開中,23,1,4.4%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1617,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,神奈川県,正社員,LG求人20231114,公開中,9,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1618,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,東京都,正社員,LG求人20231114,公開中,31,1,3.2%,￥25,￥25,1,0,100.0%,￥25
6810-1556-1621,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,東京都,正社員,LG求人20231114,公開中,31,2,6.5%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1624,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,東京都,正社員,LG求人20231114,公開中,32,1,3.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1625,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,福岡県,正社員,LG求人20231114,公開中,22,3,13.6%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1626,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,福岡県,正社員,LG求人20231114,公開中,24,2,8.3%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1627,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,大阪府,正社員,LG求人20231114,公開中,24,4,16.7%,￥25,￥100,0,1,0.0%,￥0
6810-1556-1629,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,大阪府,正社員,LG求人20231114,公開中,22,1,4.6%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1630,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,大阪府,正社員,LG求人20231114,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1632,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,大阪府,正社員,LG求人20231114,公開中,31,3,9.7%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1635,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,愛知県,正社員,LG求人20231114,公開中,53,7,13.2%,￥25,￥175,0,0,0.0%,￥0
6810-1556-1636,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,愛知県,正社員,LG求人20231114,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1637,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1638,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,15,1,6.7%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1639,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,14,3,21.4%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1640,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,埼玉県,正社員,LG求人20231114,公開中,17,4,23.5%,￥25,￥100,1,1,25.0%,￥100
6810-1556-1642,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,千葉県,正社員,LG求人20231114,公開中,13,3,23.1%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1643,20代活躍中/ヒアリングに自信のある方/探偵事務所のカウンセリングスタッフ～カウンセリングはオンライン実施/LG,非公開,千葉県,正社員,LG求人20231114,公開中,31,0,0.0%,￥0,￥0,1,0,0.0%,￥0
